id,type,
Wirtualna Polska (wp.pl),information-diss-agents,IP-1
KP.ru,information-diss-agents,IP-2
Diena (Diena.lt),information-diss-agents,IP-3
Vikerraadio (vikerradio.err.ee),information-diss-agents,IP-4
Eesti Pavaleht(epl.delfi.ee),information-diss-agents,IP-5
Press (press.lv),information-diss-agents,IP-6
TVP1 (tvp.pl),information-diss-agents,IP-7
LRT (lrt.lt),information-diss-agents,IP-8
PBK LV,information-diss-agents,IP-9
TNT (tnt-online.ru),information-diss-agents,IP-10
Onet (Onet.pl),information-diss-agents,IP-11
NashaNiva.com,information-diss-agents,IP-12
RMF FM (rmf.fm),information-diss-agents,IP-13
Odnoklassniki(BY),information-diss-agents,IP-14
Draugiem,information-diss-agents,IP-15
Ohtuleht (ohtuleht.ee),information-diss-agents,IP-16
Argumenty i Fakty v Belarusi (aif.ru),information-diss-agents,IP-17
Gazeta Wyborcza (wyborcza.pl),information-diss-agents,IP-18
Apollo (apollo.lv),information-diss-agents,IP-19
Fakt (fakt.pl),information-diss-agents,IP-20
Odnolassniki(EE),information-diss-agents,IP-21
Niezalezna (niezalezna.pl),information-diss-agents,IP-22
Charter97.org,information-diss-agents,IP-23
ETV Plus (etvpluss.err.ee),information-diss-agents,IP-24
Sputnik News LT (sputniknews.ru),information-diss-agents,IP-25
Stena.ee,information-diss-agents,IP-26
Belarus Segodnya (sb.by),information-diss-agents,IP-27
Verslo Zinios (vz.lt),information-diss-agents,IP-28
Odnoklassniki(LT),information-diss-agents,IP-29
Sputnik Belarus (sputnik.by),information-diss-agents,IP-30
Telegram,information-diss-agents,IP-31
VK(PL),information-diss-agents,IP-32
Radio Latvia 2 (lr2.lsm.lv),information-diss-agents,IP-33
Odnoklassniki(PL),information-diss-agents,IP-34
Odnoklassniki(LV),information-diss-agents,IP-35
L24 (l24.lt),information-diss-agents,IP-36
O2 (o2.pl),information-diss-agents,IP-37
RIA Novosti (ria.ru),information-diss-agents,IP-38
Euroradio (euroradio.fm),information-diss-agents,IP-39
RUSRADIO (rusradio.lt),information-diss-agents,IP-40
VK(BY),information-diss-agents,IP-41
Delfi LT (delfi.lt),information-diss-agents,IP-42
Kauno Diena (kauno.diena.lt),information-diss-agents,IP-43
Radio ZET (radiozet.pl),information-diss-agents,IP-44
RBC (rbc.ru),information-diss-agents,IP-45
Facebook(LT),information-diss-agents,IP-46
Lietus Radio (lietus.fm),information-diss-agents,IP-47
15min (15min.lt),information-diss-agents,IP-48
VK(EE),information-diss-agents,IP-49
Twitter(LV),information-diss-agents,IP-50
M!xnews (mixnews.lv),information-diss-agents,IP-51
Delfi EE (Delfi.ee),information-diss-agents,IP-52
Facebook(PL),information-diss-agents,IP-53
Delfi LV (delfi.lv),information-diss-agents,IP-54
Facebook(BY),information-diss-agents,IP-55
TV3 LT (tv3.lt),information-diss-agents,IP-56
LSM (lsm.lv),information-diss-agents,IP-57
Wprost (Wprost.eu),information-diss-agents,IP-58
Onliner (onliner.by),information-diss-agents,IP-59
TV3 EE (tv3.ee),information-diss-agents,IP-60
Do Rzeczy (dorzeczy.pl),information-diss-agents,IP-61
Facebook(EE),information-diss-agents,IP-62
Twitter(PL),information-diss-agents,IP-63
LTV 1 (ltv1.lsm.lv),information-diss-agents,IP-64
Aripaev (aripaev.ee),information-diss-agents,IP-65
Respublika (respublika.lt),information-diss-agents,IP-66
Radio Skonto (radioskonto.lv),information-diss-agents,IP-67
Vakaru Ekspresas (ve.lt),information-diss-agents,IP-68
Vesti Segodnya (ves.lv),information-diss-agents,IP-69
Postimees (postimees.ee),information-diss-agents,IP-70
RuBaltic (rubaltic.ru),information-diss-agents,IP-71
Belta (eng.belta.by),information-diss-agents,IP-72
Twitter(EE),information-diss-agents,IP-73
Belsat (Belsat.eu),information-diss-agents,IP-74
VK(LT),information-diss-agents,IP-75
ONT (ont.by),information-diss-agents,IP-76
TVN24 (tvn24.pl),information-diss-agents,IP-77
Twitter(BY),information-diss-agents,IP-78
PBK EE,information-diss-agents,IP-79
Jauns.lv,information-diss-agents,IP-80
Baltijas Balss (bb.lv),information-diss-agents,IP-81
1st National Channel (tvr.by),information-diss-agents,IP-82
KrytykaPolitczyna.pl,information-diss-agents,IP-83
Facebook(LV),information-diss-agents,IP-84
Meduza (meduza.io),information-diss-agents,IP-85
Channel One Russia (1tv.ru),information-diss-agents,IP-86
Elu 24 (elu24.ee),information-diss-agents,IP-87
Rzeczpospolita (rp.pl),information-diss-agents,IP-88
Alfa (alfa.lt),information-diss-agents,IP-89
Lietuvos Rytas (lrytas.lt),information-diss-agents,IP-90
PBK LT,information-diss-agents,IP-91
Sky Radio (sky.ee),information-diss-agents,IP-92
TV3 LV (tv3.lv),information-diss-agents,IP-93
LNK,information-diss-agents,IP-94
Neatkaringa Avize (nra.lv),information-diss-agents,IP-95
TVP Info (tvp.info),information-diss-agents,IP-96
TVNet (tvnet.lv),information-diss-agents,IP-97
Gorod.lv (Daugapils ONLY),information-diss-agents,IP-98
Latvijas Avize (la.lv),information-diss-agents,IP-99
wPolityce (wpolityce.pl),information-diss-agents,IP-100
Interia (interia.pl),information-diss-agents,IP-101
Twitter(LT),information-diss-agents,IP-102
Lenta (lenta.ru),information-diss-agents,IP-103
VK(LV),information-diss-agents,IP-104